entity,internal_id,embedding_source,has_kg_relation,embedding_dimension
CID51346455,192,missing_zero,False,128
CID42623900,193,missing_zero,False,128
CID53322732,194,missing_zero,False,128
CID16719221,195,missing_zero,False,128
CID135565545,196,trained,True,128
CID6539952,197,missing_zero,False,128
CID11673921,198,trained,True,128
CID53325875,199,missing_zero,False,128
CID9839311,200,missing_zero,False,128
CID10172943,201,missing_zero,False,128
CID118958122,202,missing_zero,False,128
CID11314340,203,trained,True,128
CID54708532,204,missing_zero,False,128
CID9549184,205,trained,True,128
CID16038374,206,missing_zero,False,128
CID16218924,207,missing_zero,False,128
CID24768261,208,trained,True,128
CID16666333,209,trained,True,128
CID42636535,210,trained,True,128
CID54684141,211,trained,True,128
CID15604015,212,trained,True,128
CID49846579,213,trained,True,128
CID24978538,214,trained,True,128
CID1973,215,missing_zero,False,128
CID11228183,216,missing_zero,False,128
CID3035714,217,trained,True,128
CID45480520,218,trained,True,128
CID11530459,219,missing_zero,False,128
CID52943938,220,trained,True,128
CID10437018,221,trained,True,128
CID23653175,222,missing_zero,False,128
CID57381425,223,missing_zero,False,128
CID46931003,224,missing_zero,False,128
CID11383075,225,missing_zero,False,128
CID10297043,226,trained,True,128
CID10297043,227,trained,True,128
CID10184653,228,trained,True,128
CID9807431,229,missing_zero,False,128
CID2044,230,trained,True,128
CID9840076,231,trained,True,128
CID2051,232,missing_zero,False,128
CID5328779,233,trained,True,128
CID117817422,234,trained,True,128
CID56645356,235,missing_zero,False,128
CID11501591,236,missing_zero,False,128
CID49806720,237,trained,True,128
CID24771867,238,trained,True,128
CID10207,239,trained,True,128
CID42628503,240,missing_zero,False,128
CID58299817,241,missing_zero,False,128
CID10141893,242,missing_zero,False,128
CID2125,243,trained,True,128
CID177358,244,missing_zero,False,128
CID10830874,245,missing_zero,False,128
CID24864821,246,trained,True,128
CID58573469,247,missing_zero,False,128
CID24879368,248,missing_zero,False,128
CID44181686,249,missing_zero,False,128
CID24764449,250,missing_zero,False,128
CID16086114,251,trained,True,128
CID11858109,252,missing_zero,False,128
CID11167112,253,missing_zero,False,128
CID24856041,254,trained,True,128
CID60202647,255,missing_zero,False,128
CID16108977,256,trained,True,128
CID11282283,257,trained,True,128
CID11556427,258,trained,True,128
CID454216,259,trained,True,128
CID5284616,260,trained,True,128
CID68165256,261,trained,True,128
CID9826188,262,missing_zero,False,128
CID1901244,263,trained,True,128
CID11960271,264,missing_zero,False,128
CID42627755,265,missing_zero,False,128
CID23634362,266,missing_zero,False,128
CID11717001,267,missing_zero,False,128
CID6918848,268,missing_zero,False,128
CID448014,269,trained,True,128
CID10226546,270,trained,True,128
CID24872560,271,trained,True,128
CID25110841,272,missing_zero,False,128
CID44224257,273,trained,True,128
CID10109823,274,trained,True,128
CID10195250,275,trained,True,128
CID5287855,276,trained,True,128
CID10377751,277,trained,True,128
CID25134326,278,trained,True,128
CID44156902,279,trained,True,128
CID24739943,280,missing_zero,False,128
CID11409972,281,trained,True,128
CID135397708,282,trained,True,128
CID227456,283,trained,True,128
CID11955716,284,missing_zero,False,128
CID11338033,285,trained,True,128
CID11175137,286,trained,True,128
CID135398495,287,trained,True,128
CID11219835,288,trained,True,128
CID11700696,289,trained,True,128
CID46883536,290,trained,True,128
CID59174488,291,trained,True,128
CID9918559,292,trained,True,128
CID56949412,293,missing_zero,False,128
CID72716071,294,missing_zero,False,128
CID46244454,295,trained,True,128
CID16097523,296,trained,True,128
CID56973724,297,trained,True,128
CID11676786,298,trained,True,128
CID91885438,299,trained,True,128
CID25099184,300,trained,True,128
CID135564570,301,missing_zero,False,128
CID16659841,302,missing_zero,False,128
CID24856436,303,trained,True,128
CID11292191,304,trained,True,128
CID25262792,305,trained,True,128
CID44199317,306,trained,True,128
CID56953649,307,trained,True,128
CID10138980,308,trained,True,128
CID91666658,309,missing_zero,False,128
CID56599293,310,missing_zero,False,128
CID10369242,311,trained,True,128
CID51039095,312,trained,True,128
CID25227436,313,trained,True,128
CID16747683,314,trained,True,128
CID44137675,315,trained,True,128
CID16741245,316,missing_zero,False,128
CID11152667,317,trained,True,128
CID25262965,318,trained,True,128
CID52913813,319,missing_zero,False,128
CID16666708,320,missing_zero,False,128
CID11965767,321,missing_zero,False,128
CID76685059,322,missing_zero,False,128
CID11488320,323,trained,True,128
CID92044376,324,missing_zero,False,128
CID86287635,325,trained,True,128
CID441300,326,trained,True,128
CID15664,327,missing_zero,False,128
CID46220502,328,trained,True,128
CID132971,329,missing_zero,False,128
CID9821849,330,missing_zero,False,128
CID138403267,331,missing_zero,False,128
CID17513,332,trained,True,128
CID71226662,333,missing_zero,False,128
CID11618268,334,missing_zero,False,128
CID71158,335,trained,True,128
CID9811704,336,trained,True,128
CID441307,337,missing_zero,False,128
CID170367,338,missing_zero,False,128
CID1981,339,trained,True,128
CID11074431,340,trained,True,128
CID904,341,missing_zero,False,128
CID1985,342,trained,True,128
CID1986,343,trained,True,128
CID1989,344,trained,True,128
CID1990,345,trained,True,128
CID12035,346,trained,True,128
CID135465539,347,missing_zero,False,128
CID135398513,348,trained,True,128
CID5310993,349,missing_zero,False,128
CID5284513,350,trained,True,128
CID451415,351,trained,True,128
CID11519741,352,trained,True,128
CID5311007,353,missing_zero,False,128
CID457193,354,trained,True,128
CID60164,355,trained,True,128
CID60871,356,trained,True,128
CID60961,357,trained,True,128
CID16070111,358,trained,True,128
CID5763,359,missing_zero,False,128
CID16307093,360,trained,True,128
CID443939,361,trained,True,128
CID91933867,362,missing_zero,False,128
CID66136,363,missing_zero,False,128
CID10184653,364,trained,True,128
CID135411,365,trained,True,128
CID135398501,366,trained,True,128
CID73014064,367,trained,True,128
CID135398501,368,trained,True,128
CID71992,369,missing_zero,False,128
CID2082,370,trained,True,128
CID83969,371,trained,True,128
CID9810709,372,missing_zero,False,128
CID2088,373,trained,True,128
CID17684448,374,trained,True,128
CID5282181,375,trained,True,128
CID2092,376,trained,True,128
CID71764,377,trained,True,128
CID71764,378,trained,True,128
CID71916,379,missing_zero,False,128
CID24771867,380,trained,True,128
CID5493444,381,trained,True,128
CID6918427,382,trained,True,128
CID6293,383,trained,True,128
CID135401907,384,trained,True,128
CID123606,385,trained,True,128
CID9866696,386,trained,True,128
CID14989,387,trained,True,128
CID162147,388,missing_zero,False,128
CID65663,389,missing_zero,False,128
CID56649450,390,trained,True,128
CID73265232,391,missing_zero,False,128
CID5280723,392,trained,True,128
CID10041070,393,trained,True,128
CID2123,394,trained,True,128
CID21718,395,trained,True,128
CID9852573,396,trained,True,128
CID5488548,397,trained,True,128
CID2130,398,trained,True,128
CID64150,399,missing_zero,False,128
CID439518,400,missing_zero,False,128
CID6918493,401,trained,True,128
CID444,402,trained,True,128
CID23663941,403,missing_zero,False,128
CID6009,404,missing_zero,False,128
CID2141,405,trained,True,128
CID16231,406,trained,True,128
CID68540,407,trained,True,128
CID68540,408,trained,True,128
CID2145,409,trained,True,128
CID123608,410,trained,True,128
CID9433,411,trained,True,128
CID169371,412,trained,True,128
CID2155,413,trained,True,128
CID441325,414,trained,True,128
CID441325,415,trained,True,128
CID2159,416,trained,True,128
CID11065,417,trained,True,128
CID2161,418,trained,True,128
CID2162,419,trained,True,128
CID62074,420,trained,True,128
CID64646,421,trained,True,128
CID2165,422,trained,True,128
CID50515,423,trained,True,128
CID54260,424,trained,True,128
CID54259,425,trained,True,128
CID54259,426,trained,True,128
CID2170,427,trained,True,128
CID33613,428,trained,True,128
CID23663126,429,trained,True,128
CID23663979,430,trained,True,128
CID23565,431,trained,True,128
CID2176,432,trained,True,128
CID65016,433,trained,True,128
CID8732,434,missing_zero,False,128
CID2179,435,trained,True,128
CID135409400,436,trained,True,128
CID135413494,437,trained,True,128
CID9828911,438,missing_zero,False,128
CID2187,439,trained,True,128
CID9824562,440,trained,True,128
CID5318517,441,missing_zero,False,128
CID2196,442,trained,True,128
CID657201,443,trained,True,128
CID25017411,444,missing_zero,False,128
CID5282049,445,trained,True,128
CID17275,446,trained,True,128
CID14957,447,missing_zero,False,128
CID2206,448,trained,True,128
CID73427118,449,missing_zero,False,128
CID24872560,450,trained,True,128
CID45139106,451,missing_zero,False,128
CID5813717,452,missing_zero,False,128
CID5280443,453,trained,True,128
CID10173277,454,missing_zero,False,128
CID10182969,455,trained,True,128
CID11452716,456,missing_zero,False,128
CID135413536,457,trained,True,128
CID453548,458,trained,True,128
CID9958103,459,missing_zero,False,128
CID440936,460,trained,True,128
CID2230,461,trained,True,128
CID92722,462,trained,True,128
CID5574924,463,missing_zero,False,128
CID60795,464,trained,True,128
CID9690109,465,trained,True,128
CID14888,466,trained,True,128
CID49777740,467,missing_zero,False,128
CID68911,468,trained,True,128
CID68827,469,missing_zero,False,128
CID3000518,470,missing_zero,False,128
CID10475633,471,trained,True,128
CID6917864,472,trained,True,128
CID32169,473,missing_zero,False,128
CID20525,474,missing_zero,False,128
CID163091,475,trained,True,128
CID6917875,476,missing_zero,False,128
CID119034,477,missing_zero,False,128
CID134601,478,trained,True,128
CID2244,479,trained,True,128
CID13943299,480,trained,True,128
CID158550,481,trained,True,128
CID2249,482,trained,True,128
CID129869,483,missing_zero,False,128
CID54840,484,trained,True,128
CID60822,485,trained,True,128
CID74989,486,trained,True,128
CID5321018,487,missing_zero,False,128
CID47320,488,trained,True,128
CID159594,489,missing_zero,False,128
CID121488167,490,missing_zero,False,128
CID16667669,491,trained,True,128
CID10621,492,trained,True,128
CID44139710,493,trained,True,128
CID49841217,494,trained,True,128
CID9869929,495,trained,True,128
CID166558,496,missing_zero,False,128
CID72734520,497,missing_zero,False,128
CID51040,498,trained,True,128
CID6450551,499,trained,True,128
CID9444,500,trained,True,128
CID15723,501,trained,True,128
CID9444,502,trained,True,128
CID15443,503,trained,True,128
CID115000,504,missing_zero,False,128
CID19861,505,trained,True,128
CID5281066,506,trained,True,128
CID2265,507,trained,True,128
CID54360,508,trained,True,128
CID65948,509,trained,True,128
CID135415867,510,trained,True,128
CID135409642,511,trained,True,128
CID447043,512,trained,True,128
CID11638255,513,missing_zero,False,128
CID23685176,514,trained,True,128
CID10701,515,missing_zero,False,128
CID5742832,516,missing_zero,False,128
CID44599207,517,missing_zero,False,128
CID24882589,518,trained,True,128
CID3101542,519,trained,True,128
CID16007391,520,missing_zero,False,128
CID5362422,521,trained,True,128
CID5353431,522,trained,True,128
CID70817911,523,missing_zero,False,128
CID118310260,524,missing_zero,False,128
CID118869362,525,missing_zero,False,128
CID9798973,526,missing_zero,False,128
CID9953906,527,missing_zero,False,128
CID135564787,528,missing_zero,False,128
CID11784504,529,missing_zero,False,128
CID118191391,530,trained,True,128
CID188914,531,missing_zero,False,128
CID42647289,532,trained,True,128
CID6918638,533,trained,True,128
CID73425805,534,missing_zero,False,128
CID3885,535,trained,True,128
CID68643,536,missing_zero,False,128
CID11977753,537,trained,True,128
CID135565884,538,missing_zero,False,128
CID53235510,539,missing_zero,False,128
CID9884807,540,missing_zero,False,128
CID11978790,541,missing_zero,False,128
CID57336745,542,missing_zero,False,128
CID11364421,543,trained,True,128
CID45270144,544,trained,True,128
CID2747117,545,missing_zero,False,128
CID135567102,546,missing_zero,False,128
CID117072549,547,missing_zero,False,128
CID25023738,548,trained,True,128
CID9927531,549,trained,True,128
CID16736529,550,trained,True,128
CID135398521,551,missing_zero,False,128
CID156422,552,trained,True,128
CID8344,553,missing_zero,False,128
CID25150857,554,trained,True,128
CID135398492,555,trained,True,128
CID135659062,556,trained,True,128
CID16654980,557,trained,True,128
CID91885617,558,missing_zero,False,128
CID72710839,559,missing_zero,False,128
CID46184986,560,missing_zero,False,128
CID2415,561,trained,True,128
CID11249248,562,missing_zero,False,128
CID448545,563,missing_zero,False,128
CID135402864,564,trained,True,128
CID73265272,565,trained,True,128
CID9926054,566,missing_zero,False,128
CID5495818,567,trained,True,128
CID56965901,568,missing_zero,False,128
CID11467730,569,missing_zero,False,128
CID135440466,570,missing_zero,False,128
CID10409068,571,missing_zero,False,128
CID11635371,572,missing_zero,False,128
CID24785538,573,trained,True,128
CID24794418,574,missing_zero,False,128
CID44155856,575,trained,True,128
CID57662985,576,trained,True,128
CID50922691,577,missing_zero,False,128
CID73388374,578,missing_zero,False,128
CID118196485,579,missing_zero,False,128
CID121328278,580,missing_zero,False,128
CID210172,581,trained,True,128
CID5328940,582,trained,True,128
CID53388144,583,trained,True,128
CID443289,584,missing_zero,False,128
CID11234052,585,trained,True,128
CID11154925,586,missing_zero,False,128
CID3654103,587,missing_zero,False,128
CID2438,588,trained,True,128
CID49867928,589,trained,True,128
CID25125014,590,trained,True,128
CID90309855,591,trained,True,128
CID72188603,592,missing_zero,False,128
CID42609849,593,missing_zero,False,128
CID49769085,594,missing_zero,False,128
CID6918663,595,missing_zero,False,128
CID10077147,596,trained,True,128
CID11754511,597,trained,True,128
CID56649450,598,trained,True,128
CID70687193,599,trained,True,128
CID2284,600,trained,True,128
CID11387605,601,trained,True,128
CID5281605,602,trained,True,128
CID64982,603,missing_zero,False,128
CID10201696,604,missing_zero,False,128
CID65958,605,trained,True,128
CID135413496,606,trained,True,128
CID11497983,607,missing_zero,False,128
CID400769,608,missing_zero,False,128
CID44205240,609,missing_zero,False,128
CID5362422,610,trained,True,128
CID73265273,611,missing_zero,False,128
CID154257,612,trained,True,128
CID154256,613,missing_zero,False,128
CID9936012,614,missing_zero,False,128
CID6918638,615,trained,True,128
CID57345941,616,missing_zero,False,128
CID2310,617,trained,True,128
CID5362124,618,trained,True,128
CID5362123,619,trained,True,128
CID65628,620,trained,True,128
CID77082,621,trained,True,128
CID2315,622,trained,True,128
CID3032771,623,missing_zero,False,128
CID656667,624,trained,True,128
CID2327,625,missing_zero,False,128
CID26964,626,trained,True,128
CID10195250,627,trained,True,128
CID108107,628,missing_zero,False,128
CID2333,629,trained,True,128
CID8478,630,trained,True,128
CID2337,631,trained,True,128
CID243,632,trained,True,128
CID238053,633,trained,True,128
CID54678490,634,trained,True,128
CID164521,635,missing_zero,False,128
CID2351,636,trained,True,128
CID2353,637,trained,True,128
CID2355,638,missing_zero,False,128
CID59472121,639,missing_zero,False,128
CID72172,640,trained,True,128
CID5280489,641,missing_zero,False,128
CID9782,642,trained,True,128
CID21800,643,trained,True,128
CID16533,644,trained,True,128
CID71651,645,missing_zero,False,128
CID2369,646,trained,True,128
CID107952,647,trained,True,128
CID2370,648,trained,True,128
CID11548,649,trained,True,128
CID82146,650,trained,True,128
CID39042,651,trained,True,128
CID71339,652,missing_zero,False,128
CID2375,653,trained,True,128
CID2377,654,trained,True,128
CID2378,655,trained,True,128
CID73581,656,missing_zero,False,128
CID5311027,657,trained,True,128
CID58507717,658,missing_zero,False,128
CID71354,659,missing_zero,False,128
CID5280373,660,trained,True,128
CID92151,661,trained,True,128
CID49836020,662,trained,True,128
CID2391,663,trained,True,128
CID5281064,664,trained,True,128
CID3476986,665,missing_zero,False,128
CID5360373,666,trained,True,128
CID71587153,667,missing_zero,False,128
CID387447,668,trained,True,128
CID104865,669,trained,True,128
CID5328940,670,trained,True,128
CID3372016,671,missing_zero,False,128
CID5287620,672,trained,True,128
CID57030,673,missing_zero,False,128
CID6100,674,trained,True,128
CID11248490,675,missing_zero,False,128
CID56941241,676,missing_zero,False,128
CID483477,677,missing_zero,False,128
CID5052,678,trained,True,128
CID56843850,679,trained,True,128
CID68844,680,trained,True,128
CID11234052,681,trained,True,128
CID446727,682,trained,True,128
CID2442,683,trained,True,128
CID5702220,684,trained,True,128
CID5702220,685,trained,True,128
CID5281067,686,trained,True,128
CID2453,687,trained,True,128
CID5281304,688,missing_zero,False,128
CID442021,689,missing_zero,False,128
CID5281004,690,trained,True,128
CID2466,691,trained,True,128
CID6420013,692,missing_zero,False,128
CID2471,693,trained,True,128
CID16654980,694,trained,True,128
CID64737,695,trained,True,128
CID3033050,696,missing_zero,False,128
CID2477,697,trained,True,128
CID2478,698,trained,True,128
CID5281222,699,missing_zero,False,128
CID443867,700,trained,True,128
CID47472,701,trained,True,128
