internal_id,entity,CID,has_smiles,degree
2769,CID24964624,CID24964624,True,149
2770,CID24967599,CID24967599,True,1
2771,CID24978538,CID24978538,True,190
2772,CID24988881,CID24988881,True,1
2773,CID24995523,CID24995523,True,1
2774,CID24995524,CID24995524,True,3
2775,CID24996872,CID24996872,True,1
2776,CID25017411,CID25017411,True,1
2777,CID25019940,CID25019940,True,2
2779,CID25022668,CID25022668,True,1
2780,CID25023738,CID25023738,True,4
2781,CID25027363,CID25027363,True,1
2783,CID25050,CID25050,True,2
2784,CID25062766,CID25062766,True,4
2787,CID25073775,CID25073775,True,2
2788,CID25093235,CID25093235,True,3
2793,CID25109292,CID25109292,True,2
2794,CID25109985,CID25109985,True,2
2796,CID25113169,CID25113169,True,1
2797,CID25113626,CID25113626,True,1
2799,CID25114442,CID25114442,True,1
2800,CID25117126,CID25117126,True,1
2801,CID25124816,CID25124816,True,5
2804,CID25127713,CID25127713,True,2
2806,CID25134521,CID25134521,True,2
2809,CID25141092,CID25141092,True,2
2810,CID25145656,CID25145656,True,2
2812,CID25151352,CID25151352,True,2
2813,CID25151504,CID25151504,True,1
2814,CID25154041,CID25154041,True,2
2816,CID25154714,CID25154714,True,1
2818,CID25167017,CID25167017,True,1
2819,CID25167777,CID25167777,True,84
2821,CID25169382,CID25169382,True,1
2824,CID2519,CID2519,True,2
2825,CID25195294,CID25195294,True,4
2827,CID25195352,CID25195352,True,1
2828,CID25199517,CID25199517,True,2
2831,CID25207689,CID25207689,True,4
2833,CID25226117,CID25226117,True,1
2836,CID25227847,CID25227847,True,2
2837,CID25229450,CID25229450,True,1
2842,CID25253377,CID25253377,True,2
