drug1_id,drug2_id,drug1_entity,drug2_entity,label,split
1708,1903,CID100094,CID11347535,1,train
1710,1903,CID10027278,CID11347535,1,train
1711,1903,CID10029385,CID11347535,1,train
1714,4315,CID10047612,CID6135,1,train
1715,1903,CID10052040,CID11347535,1,train
1717,1903,CID10056071,CID11347535,1,train
1720,1903,CID10074640,CID11347535,1,train
1722,2740,CID10077147,CID24821094,1,train
1723,2083,CID10090485,CID11977753,1,train
1723,2431,CID10090485,CID16654980,1,train
1723,2486,CID10090485,CID176870,1,train
1723,2546,CID10090485,CID208908,1,train
1723,2684,CID10090485,CID23725625,1,train
1723,2740,CID10090485,CID24821094,1,train
1723,2769,CID10090485,CID24964624,1,train
1723,2771,CID10090485,CID24978538,1,train
1723,3002,CID10090485,CID3062316,1,train
1723,3692,CID10090485,CID51001932,1,train
1723,3899,CID10090485,CID5330286,1,train
1723,3911,CID10090485,CID53340771,1,train
1723,4299,CID10090485,CID60838,1,train
1723,4910,CID10090485,CID90241673,1,train
1723,5058,CID10090485,CID9887053,1,train
1724,1778,CID10090750,CID10339178,1,train
1724,1877,CID10090750,CID11243969,1,train
1724,2046,CID10090750,CID11876263,1,train
1724,2112,CID10090750,CID122108,1,train
1724,2152,CID10090750,CID130881,1,train
1724,2153,CID10090750,CID130904,1,train
1724,2155,CID10090750,CID13109,1,train
1724,2195,CID10090750,CID135398740,1,train
1724,2222,CID10090750,CID135413536,1,train
1724,2226,CID10090750,CID135415564,1,train
1724,2293,CID10090750,CID1461,1,train
1724,2311,CID10090750,CID150311,1,train
1724,2357,CID10090750,CID157920,1,train
1724,2430,CID10090750,CID165580,1,train
1724,2438,CID10090750,CID16667669,1,train
1724,2514,CID10090750,CID1935,1,train
1724,2527,CID10090750,CID1989,1,train
1724,2540,CID10090750,CID2082,1,train
1724,2544,CID10090750,CID208898,1,train
1724,2555,CID10090750,CID2130,1,train
1724,2582,CID10090750,CID2170,1,train
1724,2592,CID10090750,CID219078,1,train
1724,2620,CID10090750,CID2284,1,train
1724,2859,CID10090750,CID2578,1,train
1724,2969,CID10090750,CID3019,1,train
1724,2984,CID10090750,CID3034034,1,train
1724,2989,CID10090750,CID3038,1,train
1724,3001,CID10090750,CID3055,1,train
1724,3016,CID10090750,CID3117,1,train
1724,3051,CID10090750,CID3331,1,train
1724,3070,CID10090750,CID3373,1,train
1724,3078,CID10090750,CID3397,1,train
1724,3079,CID10090750,CID3406,1,train
1724,3103,CID10090750,CID3519,1,train
1724,3140,CID10090750,CID37393,1,train
1724,3164,CID10090750,CID3883,1,train
1724,3181,CID10090750,CID3955,1,train
1724,3198,CID10090750,CID4032,1,train
1724,3201,CID10090750,CID4037,1,train
1724,3205,CID10090750,CID4054,1,train
1724,3230,CID10090750,CID41684,1,train
1724,3233,CID10090750,CID4173,1,train
1724,3245,CID10090750,CID4212,1,train
1724,3281,CID10090750,CID439693,1,train
1724,3397,CID10090750,CID445643,1,train
1724,3419,CID10090750,CID446987,1,train
1724,3425,CID10090750,CID4477,1,train
1724,3453,CID10090750,CID449381,1,train
1724,3461,CID10090750,CID4513,1,train
1724,3533,CID10090750,CID4674,1,train
1724,3812,CID10090750,CID5284583,1,train
1724,3831,CID10090750,CID5291,1,train
1724,3842,CID10090750,CID5310966,1,train
1724,3844,CID10090750,CID5311,1,train
1724,3895,CID10090750,CID5329102,1,train
1724,3930,CID10090750,CID5342,1,train
1724,3942,CID10090750,CID5358,1,train
1724,3945,CID10090750,CID5360515,1,train
1724,3964,CID10090750,CID5426,1,train
1724,3967,CID10090750,CID5430,1,train
1724,3982,CID10090750,CID5462501,1,train
1724,3988,CID10090750,CID54675769,1,train
1724,4003,CID10090750,CID54680692,1,train
1724,4039,CID10090750,CID5493444,1,train
1724,4054,CID10090750,CID5546,1,train
1724,4206,CID10090750,CID5831,1,train
1724,4207,CID10090750,CID5833,1,train
1724,4245,CID10090750,CID5991,1,train
1724,4252,CID10090750,CID6013,1,train
1724,4259,CID10090750,CID6018,1,train
1724,4279,CID10090750,CID60648,1,train
1724,4290,CID10090750,CID60753,1,train
1724,4299,CID10090750,CID60838,1,train
1724,4312,CID10090750,CID6100,1,train
1724,4353,CID10090750,CID6321424,1,train
1724,4358,CID10090750,CID6337614,1,train
1724,4368,CID10090750,CID64139,1,train
1724,4443,CID10090750,CID656583,1,train
1724,4535,CID10090750,CID68617,1,train
1724,4558,CID10090750,CID6914273,1,train
1724,4577,CID10090750,CID6918296,1,train
1724,4837,CID10090750,CID7550,1,train
1724,4929,CID10090750,CID91649,1,train
1724,4949,CID10090750,CID92722,1,train
1724,5000,CID10090750,CID9811704,1,train
1724,5089,CID10090750,CID9930913,1,train
1725,1903,CID10095659,CID11347535,1,train
1727,1903,CID101043861,CID11347535,1,train
1732,1903,CID10133,CID11347535,1,train
1743,2740,CID10173277,CID24821094,1,train
1743,2935,CID10173277,CID285033,1,train
1743,2962,CID10173277,CID3005572,1,train
1743,3115,CID10173277,CID358177,1,train
1743,3624,CID10173277,CID492405,1,train
1743,3754,CID10173277,CID5281078,1,train
1743,4310,CID10173277,CID60974,1,train
1743,4318,CID10173277,CID6167,1,train
1743,4408,CID10173277,CID6456015,1,train
1746,1903,CID10177,CID11347535,1,train
1749,1939,CID10184653,CID11488320,1,train
1749,2027,CID10184653,CID117817422,1,train
1749,2066,CID10184653,CID11957503,1,train
1749,2230,CID10184653,CID135421197,1,train
1749,2431,CID10184653,CID16654980,1,train
1749,2546,CID10184653,CID208908,1,train
1749,2684,CID10184653,CID23725625,1,train
