id,smiles,drug_name
3177,CC12CCC3C(C1CCC2O)C(CC4=C3C=CC(=C4)O)CCCCCCCCCS(=O)CCCC(C(F)(F)F)(F)F,FULVESTRANT
2373,C(CCl)NC(=O)N(CCCl)N=O,CARMUSTINE
3362,C(=O)(N)NO,HYDROXYUREA
5324,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O,ZOLEDRONIC ACID
1900,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,ANASTROZOLE
2807,CN(C)N=NC1=C(NC=N1)C(=O)N,DACARBAZINE
4451,C#CCC(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)NC(CCC(=O)O)C(=O)O,PRALATREXATE
3583,C1CCC(CC1)NC(=O)N(CCCl)N=O,LOMUSTINE
3567,C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N,LENALIDOMIDE
4235,CC1=C(C=C(C=C1)NC2=NC=CC(=N2)N(C)C3=CC4=NN(C(=C4C=C3)C)C)S(=O)(=O)N.Cl,PAZOPANIB HYDROCHLORIDE
3197,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,GEFITINIB
2831,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)C)O)N)O.Cl,DAUNORUBICIN HYDROCHLORIDE
3801,CC1=CC2C(CCC3(C2CCC3(C(=O)C)OC(=O)C)C)C4(C1=CC(=O)CC4)C,MEGESTROL ACETATE
5000,COC1=CC(=CC(=C1O)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)OC6C(C(C7C(O6)COC(O7)C8=CC=CS8)O)O,TENIPOSIDE
1893,C(CN)CNCCSP(=O)(O)O,AMIFOSTINE
5172,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl)F,VEMURAFENIB
2731,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N,CRIZOTINIB
1985,CC12CCC(CC1=CCC3C2CCC4(C3CC=C4C5=CN=CC=C5)C)O,ABIRATERONE
2566,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)OC)C)OC,CABAZITAXEL
5182,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl,VISMODEGIB
4649,C1CCC(C1)C(CC#N)N2C=C(C=N2)C3=C4C=CNC4=NC=N3,RUXOLITINIB
5165,CN1CCC(CC1)COC2=C(C=C3C(=C2)N=CN=C3NC4=C(C=C(C=C4)Br)F)OC,VANDETANIB
3175,CCOP(=O)(C(C)NC(=O)N(CCCl)N=O)OCC,Fotemustine
1879,CC1=CC=CC=N1.N.[Cl-].[Cl-].[Pt+2],AMD 473
5239,CCC1(CC2CC(C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C=O)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O,VINCRISTINE
5369,CC(=O)NC1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,colchicine
4020,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C3=CC=CS3,NOCODAZOLE
4440,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O,PODOPHYLLOTOXIN
5404,CCOC(=O)C1=C(NC(=S)NC1C2=CC(=CC=C2)O)C,monastrol
2669,C1=CC2=C(C=C1Cl)N=C(NC2=O)C(=C(C3=C(C=C(C=C3)Cl)Cl)O)C#N,Ciliobrevin D
3470,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)C4(CC)O)C2=NC5=C1C=C(C=C5)OC(=O)N6CCC(CC6)N7CCCCC7,IRINOTECAN
2580,CCC1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O,CAMPTOTHECIN
3202,C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)O)O,GENISTEIN
3184,CC1CN(CCN1)C2=C(C=C3C(=C2OC)N(C=C(C3=O)C(=O)O)C4CC4)F,GATIFLOXACIN
3888,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O.O.Cl,Moxifloxacin hydrochloride monohydrate
5409,CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCNCC3)F)C(=O)O,norfloxacin
4843,CC1CN(CC(N1)C)C2=C(C(=C3C(=C2F)N(C=C(C3=O)C(=O)O)C4CC4)N)F,SPARFLOXACIN
3628,C[C@H]1COC2=C3N1C=C(C(O)=O)C(=O)C3=CC(F)=C2N1CCN(C)CC1,LEVOFLOXACIN
5363,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O,ciprofloxacin
2762,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,CYTIDINE
3090,CC1=CNN=C1,FOMEPIZOLE
2789,CCN(CC)C(=S)SSC(=S)N(CC)CC,DISULFIRAM
3769,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,MYRICETIN
5405,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,naringenin
1907,C1=CC(=CC=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O,APIGENIN
2240,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,BOSUTINIB (SKI-606)
4255,CN1C2=NC(=NC=C2C=C(C1=O)C3=C(C=CC=C3Cl)Cl)NC4=CC(=CC=C4)SC,PD173955
2369,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4,CANERTINIB (CI-1033)
5167,C1=CC=C2C(=C1)C(=NN=C2NC3=CC=C(C=C3)Cl)CC4=CC=NC=C4.Cl.Cl,VATALANIB (PTK787) 2HCL
2388,CC1=CC2=C(N1)C=CC(=C2F)OC3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCC5,CEDIRANIB (AZD2171)
4537,CNC(=O)C1=NC=CC(=C1)OC2=CC(=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F)F,REGORAFENIB (BAY 73-4506)
4318,CC1=C(C=C(C=C1)C(=O)NC2=CC(=C(C=C2)CN3CCN(CC3)C)C(F)(F)F)C#CC4=CN=C5N4N=CC=C5,PONATINIB (AP24534)
5438,CC1=C(C=C(C=C1)C(=O)NC2=C3C(=CC(=CC3=C(C=C2)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)NC(=O)C4=CC(=CC=C4)NC(=O)NC5=CC=CC(=C5)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)O)S(=O)(=O)O)S(=O)(=O)O)C,suramin
1882,COC1=CC2=NC=CC(=C2C=C1)OCC3=NN=C4N3N=C(C=C4)C5=CC=CC=C5,AMG-208
2797,C1CCN(CC1)CCOC2=CC=C(C=C2)C3=CN4C(=C(C=N4)C5=CC=NC=C5)N=C3,DORSOMORPHIN
4902,CC(C)OC1=CC=C(C=C1)NC(=O)N2CCN(CC2)C3=NC=NC4=CC(=C(C=C43)OC)OCCCN5CCCCC5,TANDUTINIB (MLN518)
5283,CC(=O)OC1CC2(C(CCC2=O)C3=C1C4(C(OC(=O)C5=COC(=C54)C3=O)COC)C)C,Wortmannin from Penicillium funiculosum
1833,CC1=C2C=C(C=CC2=NN1)C3=CC(=CN=C3)OCC(CC4=CC=CC=C4)N,A-674563
847,CC1=C(C(=NN1)C2=C(C=C(C=C2)O)O)C3=CC=C(C=C3)OC,"4-[4-(4-methoxyphenyl)-5-methyl-1H-pyrazol-3-yl]benzene-1,3-diol"
4289,CC1=C(C=C(C=C1)C(=O)NC)N2C(=CC(=C(C2=O)Br)OCC3=C(C=C(C=C3)F)F)C,PH-797804
5436,C1=CC=NC(=C1)NS(=O)(=O)C2=CC=C(C=C2)N=NC3=CC(=C(C=C3)O)C(=O)O,sulfasalazine
2505,C1CN2CCC1C(C2)NC3=C(C(=O)NC4=C3C=C(C=C4)Cl)C5=NC6=CC=CC=C6N5,CHIR-124
3132,CN1CCC(C(C1)O)C2=C(C=C(C3=C2OC(=CC3=O)C4=CC=CC=C4Cl)O)O,Flavopiridol
4498,CC(C)C(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=C(C=C3)C(=O)O)Cl,PURVALANOL B
5426,CC(C)C(CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NC3=CC(=CC=C3)Cl,purvalanol A
3690,CC1=CC(=O)C2=CC=CC=C2C1=O,MENADIONE
4259,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,PENTAMIDINE
5352,COC1=C(C2=C[N+]3=C(C=C2C=C1)C4=CC5=C(C=C4CC3)OCO5)OC,berberine
4312,CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F,PLX-4720
3463,CC=C(C)C(=O)OC1C(=CC23C1(C(C(=CC(C2=O)C4C(C4(C)C)CC3C)CO)O)O)C,Ingenol 3-angelate
3106,C1CNCCN(C1)S(=O)(=O)C2=CC=CC3=C2C=CN=C3,Fasudil
5305,CC(C1CCC(CC1)C(=O)NC2=CC=NC=C2)N,Y-27632
3566,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,LEFLUNOMIDE
4502,CC(C)(C)C1=NC2=C(N1)C3=C(C=C(C=C3)F)C4=C2C=CNC4=O,Pyridone 6
2949,CC1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)O,EMODIN
3130,CCCCCCCCC1=CC=C(C=C1)CCC(CO)(CO)N,Fingolimod
3077,C1=CC(=C(C=C1C2=C(C(=O)C3=C(O2)C=C(C=C3)O)O)O)O,FISETIN
4780,C1C2CC2N(C1C#N)C(=O)C(C34CC5CC(C3)CC(C5)(C4)O)N,SAXAGLIPTIN
3639,CC#CCN1C2=C(N=C1N3CCCC(C3)N)N(C(=O)N(C2=O)CC4=NC5=CC=CC=C5C(=N4)C)C,LINAGLIPTIN
4819,C1CN2C(=NN=C2C(F)(F)F)CN1C(=O)CC(CC3=CC(=C(C=C3F)F)F)N,SITAGLIPTIN
