MK-2206,combination,Luminespib
AZD-7762,combination,Luminespib
AZD-7762,combination,Taselisib
Sapitinib,combination,Taselisib
Axitinib,combination,Taselisib
MK-2206,combination,Taselisib
PD-173074,combination,Taselisib
Linsitinib,combination,Cisplatin
Crizotinib,combination,Cisplatin
MK-1775,combination,Cisplatin
Temozolomide,combination,Cisplatin
Vorinostat,combination,Cisplatin
Olaparib,combination,Cisplatin
Luminespib,combination,Cisplatin
Nutlin-3a (-),combination,Cisplatin
Taselisib,combination,Cisplatin
MK-2206,combination,Docetaxel
Axitinib,combination,Docetaxel
Sapitinib,combination,Docetaxel
AZD-7762,combination,Docetaxel
PD-173074,combination,Docetaxel
AZD-7762,combination,Navitoclax
Sapitinib,combination,Navitoclax
Axitinib,combination,Navitoclax
MK-2206,combination,Navitoclax
PD-173074,combination,Navitoclax
Taselisib,combination,Vorinostat
Temozolomide,combination,Vorinostat
MK-1775,combination,Vorinostat
Linsitinib,combination,Vorinostat
Olaparib,combination,Vorinostat
Nutlin-3a (-),combination,Vorinostat
Crizotinib,combination,Vorinostat
Luminespib,combination,Vorinostat
PD-173074,combination,Olaparib
Axitinib,combination,Olaparib
Sapitinib,combination,Olaparib
MK-2206,combination,Olaparib
AZD-7762,combination,Olaparib
Pictilisib,combination,Axitinib
5-Fluorouracil,combination,Axitinib
PD-173074,combination,Axitinib
AZD-7762,combination,Axitinib
MK-2206,combination,Axitinib
5-Fluorouracil,combination,AZD-7762
PD-173074,combination,AZD-7762
Pictilisib,combination,AZD-7762
MK-1775,combination,Nutlin-3a (-)
Crizotinib,combination,Nutlin-3a (-)
Olaparib,combination,Nutlin-3a (-)
Taselisib,combination,Nutlin-3a (-)
Temozolomide,combination,Nutlin-3a (-)
Linsitinib,combination,Nutlin-3a (-)
Luminespib,combination,Nutlin-3a (-)
5-Fluorouracil,combination,PD-173074
Pictilisib,combination,PD-173074
Bortezomib,combination,MK-2206
Palbociclib,combination,MK-2206
Lapatinib,combination,MK-2206
Nutlin-3a (-),combination,MK-2206
Gemcitabine,combination,MK-2206
Trametinib,combination,MK-2206
Vorinostat,combination,MK-2206
PD-173074,combination,Palbociclib
Axitinib,combination,Palbociclib
Sapitinib,combination,Palbociclib
AZD-7762,combination,Palbociclib
5-Fluorouracil,combination,Pictilisib
Olaparib,combination,Crizotinib
Taselisib,combination,Crizotinib
Temozolomide,combination,Crizotinib
Linsitinib,combination,Crizotinib
MK-1775,combination,Crizotinib
Luminespib,combination,Crizotinib
Temozolomide,combination,MK-1775
Luminespib,combination,MK-1775
Taselisib,combination,MK-1775
Linsitinib,combination,MK-1775
Olaparib,combination,MK-1775
PD-173074,combination,Gemcitabine
Axitinib,combination,Gemcitabine
Sapitinib,combination,Gemcitabine
AZD-7762,combination,Gemcitabine
AZD-7762,combination,Bortezomib
Sapitinib,combination,Bortezomib
Axitinib,combination,Bortezomib
PD-173074,combination,Bortezomib
PD-173074,combination,Trametinib
Axitinib,combination,Trametinib
Sapitinib,combination,Trametinib
AZD-7762,combination,Trametinib
Taselisib,combination,Temozolomide
Linsitinib,combination,Temozolomide
Luminespib,combination,Temozolomide
Olaparib,combination,Temozolomide
Olaparib,combination,Linsitinib
Taselisib,combination,Linsitinib
Luminespib,combination,Linsitinib
Vorinostat,combination,Sapitinib
Nutlin-3a (-),combination,Sapitinib
Lapatinib,combination,Sapitinib
Axitinib,combination,Lapatinib
PD-173074,combination,Lapatinib
AZD-7762,combination,Lapatinib
Taselisib,combination,Luminespib
Olaparib,combination,Luminespib
Olaparib,combination,Taselisib
MK-2206,combination,Camptothecin
PD-173074,combination,Camptothecin
AZD-7762,combination,Camptothecin
Pictilisib,combination,Camptothecin
Axitinib,combination,Camptothecin
Sapitinib,combination,Camptothecin
5-Fluorouracil,combination,Camptothecin
PD-173074,combination,Vorinostat
Axitinib,combination,Vorinostat
AZD-7762,combination,Vorinostat
Nutlin-3a (-),combination,Axitinib
MK-2206,combination,Nilotinib
Axitinib,combination,Nilotinib
Sapitinib,combination,Nilotinib
5-Fluorouracil,combination,Nilotinib
PD-173074,combination,Nilotinib
