Dataset,Accuracy,Sensitivity,Specificity,Precision,F1,AUC,AUPR,MCC
Training,0.975943,0.9918922589045364,0.9599454375015023,0.9612981015806291,0.9763555716306174,0.996137591505978,0.9954818294555999,0.9523675226933213
Validation,0.96594,0.9858203511436652,0.946030602339708,0.9481676550020663,0.9666274740348815,0.9925298481191559,0.9909964570908354,0.9326147461218269
Test,0.96342,0.9793818556329931,0.9474552709743876,0.9490896406042577,0.9639978347522268,0.9938325733500439,0.992951989754284,0.9273123253096294
